frame,x,y
1,58,151
2,78.8956,150.005
3,94.8941,149.991
4,114.294,150.829
5,130.628,151.088
6,148.602,151.816
7,167.265,152.13
8,185.669,151.058
9,202.158,149.242
10,221.025,149.964
