frame,x,y
1,454,189
2,429.124,186.015
3,409.144,186.954
4,385.726,178.787
5,368.27,174.071
6,348.117,169.809
7,328.648,164.52
8,309.518,162.843
9,289.394,159.069
10,270.42,155.73
